,date,is_belong_us,name,nr,patnr,refnr
67,December 2016,Y,Chow et al.,nr10,2016/0353314,68
68,December 2016,Y,MacGougan et al.,nr10,2016/0359659,69
69,January 2017,Y,Kwan,nr10,2017/0026888,70
70,February 2017,Y,Nickolov et al.,nr10,2017/0034023,71
71,February 2017,Y,Banin et al.,nr10,2017/0034657,72
72,April 2017,Y,Mcnamee et al.,nr10,2017/0104609,73
73,April 2017,Y,Chaiyochlarb et al.,nr10,2017/0104647,74
74,July 2017,Y,Fischer et al.,nr10,2017/0208563,75
75,August 2017,Y,Jain et al.,nr10,2017/0222901,76
76,Apr 2015,N,CN,nr10,104579854,1001
77,Nov 2013,N,EP,nr10,2663120,1002
78,Apr 2015,N,EP,nr10,2853122,1003
79,Jun 2015,N,EP,nr10,2880606,1004
80,Jun 2012,N,WO,nr10,2012075052,1005
81,Oct 2015,N,WO,nr10,2015161519,1006
82,Jul 2017,N,WO,nr10,2017114969,1007
0,May 2001,Y,Yuen et al.,nr16,6239794,1
1,January 2003,Y,Knowles,nr16,6505348,2
2,May 2003,Y,Satterfield et al.,nr16,6564378,3
3,January 2007,Y,Boyer et al.,nr16,7165098,4
4,July 2010,Y,Ellis et al.,nr16,7761892,5
5,October 2011,Y,Ellis et al.,nr16,8046801,6
6,August 2014,Y,Crandall,nr16,8798444,7
7,November 2002,Y,Ellis et al.,nr16,2002/0174430,8
8,November 2005,Y,Ellis et al.,nr16,2005/0251827,9
9,July 2007,Y,Yokozawa,nr16,2007/0171198,10
10,January 2009,Y,Nakamura,nr16,2009/0007184,11
11,April 2010,Y,Shintani,nr16,2010/0107185,12
12,May 2010,Y,Byun,nr16,2010/0109973,13
13,June 2010,Y,Yates,nr16,2010/0153885,14
14,September 2012,Y,Chen,nr16,2012/0224834,15
15,September 2013,Y,Du,nr16,2013/0229582,16
16,September 2013,Y,Du,nr16,2013/0243388,17
17,June 2014,Y,Newell,nr16,2014/0152899,18
18,September 2014,Y,Shin,nr16,2014/0253816,19
19,February 2015,Y,Schanin,nr16,2015/0042887,20
20,June 2015,Y,Salmela,nr16,2015/0178227,21
21,March 2017,Y,Natarajan,nr16,2017/0070762,22
0,September 2010,Y,Weiser et al.,nr12,7801538,1
1,December 2012,Y,Shutter,nr12,8335524,2
2,June 2013,Y,Yariv et al.,nr12,8471701,3
3,June 2013,Y,Yariv et al.,nr12,8537003,4
4,November 2013,Y,Doyle,nr12,8593276,5
5,August 2014,Y,Boyle,nr12,8798643,6
6,November 2016,Y,Tipton,nr12,9503853,7
7,August 2018,Y,Tipton,nr12,10051420,8
8,January 2003,Y,Callegari,nr12,2003/0004802,9
